ST	iucA	iucB	iucC	iucD	iutA	iuc_lineage
1	1	1	1	1	1	iuc 2
2	2	6	13	6	46	iuc 3B
3	2	6	13	6	26	iuc 3B
4	5	4	3	11	6	iuc 3A
5	1	1	1	1	10	iuc 2
6	2	6	5	15	8	iuc 3B
7	5	4	16	11	6	iuc 3A
8	1	1	1	1	50	iuc 2
9	1	1	1	1	7	iuc 2
10	11	4	9	3	12	iuc 3A
11	7	2	2	2	2	iuc 3B
12	8	1	1	1	1	iuc 2
13	9	7	7	8	9	iuc 4
14	2	2	2	2	2	iuc 3B
15	1	1	1	7	1	iuc 2
16	1	3	1	1	1	iuc 2
17	6	1	6	1	1	iuc 2
18	21	1	1	19	1	iuc 2
19	10	1	8	9	11	iuc 2
20	1	1	1	1	3	iuc 2
21	1	19	1	1	1	iuc 2
22	1	1	29	1	10	iuc 2
23	14	9	12	12	16	iuc 4
24	2	6	5	6	8	iuc 3B
25	9	7	12	8	17	iuc 4
26	1	1	20	1	49	iuc 2
27	1	1	1	18	1	iuc 2
28	20	1	1	1	1	iuc 2
29	3	4	3	3	4	iuc 3A
30	4	5	4	4	5	iuc 5
31	2	10	14	2	26	iuc 3B
32	9	11	12	8	17	iuc 4
33	1	1	1	1	47	iuc 2
34	1	1	1	16	1	iuc 2
35	1	1	17	1	1	iuc 2
36	39	1	1	1	1	iuc 2
37	1	1	31	1	1	iuc 2
38	2	2	2	17	2	iuc 3B
39	5	4	3	5	6	iuc 3A
40	24	4	3	20	6	iuc 3A
41	12	14	22	21	51	iuc 4
42	12	14	22	22	13	iuc 4
43	25	9	25	23	52	iuc 4
44	4	5	26	4	5	iuc 5
45	28	4	3	11	54	iuc 3A
46	5	4	3	27	6	iuc 3A
47	5	16	3	11	6	iuc 3A
48	34	18	11	28	6	iuc 3A
49	25	9	30	31	52	iuc 4
50	43	20	3	32	6	iuc 3A
51	5	4	27	11	6	iuc 3A
52	26	5	4	24	5	iuc 5
53	27	4	27	25	53	iuc 3A
54	30	4	3	3	12	iuc 3A
55	31	4	3	3	12	iuc 3A
56	35	4	3	20	6	iuc 3A
57	27	4	3	20	6	iuc 3A
58	37	5	4	4	56	iuc 5
59	45	22	33	35	48	iuc 1
60	45	12	33	35	60	iuc 1
61	45	24	33	35	61	iuc 1
62	45	12	33	35	61	iuc 1
