Sample_Name	dataset	country	year	source	sample_type	sample	infectionStatus	strain	lineage	CG_name	ST_Jul22	YBT	CLB	IRO	IUC	Ybt_insertion	YbST	ICEKp	KpZM	YBT_lineage	CLB_lineage	clbJ/K_fusion	transposase
ERR1015323	Wyres et al.	Australia	2013	human	rectal swab	intestinal	carriage	16780648	KpI	n/a	10	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023802	Wyres et al.	Australia	2013	human	urine	urine	infection	1687085	KpI	n/a	12	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008730	Wyres et al.	Australia	2013	human	urine	urine	infection	16703720	KpI	n/a	13	ybt	clb	-	-	3	239	ICEKp10	present	17	3	no	no
ERR1015311	Wyres et al.	Australia	2013	human	rectal swab	intestinal	carriage	16780634	KpI	CG14/15	15	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1015312	Wyres et al.	Australia	2013	human	rectal swab	intestinal	carriage	16780635	KpI	CG14/15	15	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR5082451	Wyres et al.	Australia	2013	human	rectal swab	intestinal	carriage	AH0027	KpI	CG14/15	15	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR5082459	Wyres et al.	Australia	2013	human	BAL	respiratory	infection	AUS3493	KpI	CG14/15	15	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023673	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852147	KpI	CG17/20	17	ybt	-	-	-	3	232	ICEKp11	present	15	NA	NA	NA
ERR1008678	Wyres et al.	Australia	2013	human	urine	urine	infection	16703552	KpI	CG17/20	17	ybt	-	-	-	1	6	ICEKp6	absent	5	NA	NA	NA
ERR1015291	Wyres et al.	Australia	2014	human	urine	urine	infection	16780611	KpI	CG17/20	17	ybt	-	-	-	3	68	ICEKp11	present	15	NA	NA	NA
ERR1023825	Wyres et al.	Australia	2013	human	wound	wound	infection	16870830	KpI	CG17/20	17	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008693	Wyres et al.	Australia	2013	human	blood	blood_sterile	infection	16703567	KpI	CG17/20	20	ybt	-	-	-	4	136	ICEKp5	?	14	NA	NA	NA
ERR1015310	Wyres et al.	Australia	2013	human	rectal swab	intestinal	carriage	16780633	KpI	CG17/20	20	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023693	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852167	KpI	CG17/20	20	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023753	Wyres et al.	Australia	2013	human	urine	urine	infection	16870741	KpI	CG17/20	20	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
