ST	rmpA	rmpD	rmpC	rmp_lineage
1	41	20	10	2A
2	9	32	5	2
3	21	6	5	2
4	50	6	5	2
5	16	6	5	2
6	18	18	5	2A
7	3	6	5	2
8	42	6	5	2
9	25	8	7	2A
10	3	33	5	2
11	3	35	5	2
12	7	12	4	2A
13	7	8	4	2A
14	7	9	3	2A
15	30	8	3	2A
16	45	11	4	2A
17	7	11	4	2A
18	7	16	4	2A
19	7	8	3	2A
20	30	8	4	2A
21	7	36	4	2A
22	7	19	4	2A
23	7	37	4	2A
24	7	17	4	2A
25	46	21	10	2A
26	2	2	2	1
27	4	2	2	1
28	15	2	2	1
29	6	2	2	1
30	11	38	12	3
31	5	2	2	1
32	11	5	6	3
33	2	31	2	1
34	2	7	2	1
35	44	2	2	1
36	11	13	14	3
37	12	5	6	3
38	2	4	2	1
39	2	28	2	1
40	2	3	2	1
41	2	30	2	1
42	4	29	2	1
43	43	7	2	1
44	5	3	2	1
45	2	27	2	1
46	11	22	1	3
47	11	10	6	3
48	11	13	11	3
49	11	10	8	3
50	11	14	8	3
51	52	38	12	3
52	2	15	2	1
53	2	2	13	1
54	49	2	2	1
55	4	4	2	1
56	39	2	2	1
57	38	2	2	1
58	51	2	2	1
59	2	24	2	1
60	47	2	2	1
61	40	2	2	1
