ST	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	lineage_ICE
1	1	1	1	1	1	3	3	1	1	1	1	ybt 12; ICEKp10
2	1	1	1	1	1	20	16	1	1	1	1	ybt 12; ICEKp10
3	1	1	1	1	1	18	16	1	1	1	1	ybt 12; ICEKp10
4	1	1	1	10	1	3	16	1	1	1	1	ybt 12; ICEKp10
5	10	53	10	7	18	98	103	15	8	5	19	ybt 5; ICEKp6
6	10	8	10	29	18	68	66	7	8	5	37	ybt 5; ICEKp6
7	10	8	10	47	18	108	115	7	8	5	19	ybt 5; ICEKp6
8	10	8	10	47	18	124	115	7	8	5	19	ybt 5; ICEKp6?
9	10	8	10	7	18	120	115	15	8	5	19	ybt 5; ICEKp6
10	10	8	10	7	18	4	288	7	8	5	37	ybt 5; ICEKp6
11	10	8	10	7	18	4	89	7	8	5	37	ybt 5; ICEKp6
12	10	8	10	7	6	4	4	7	8	5	7	ybt 5; ICEKp6?
13	11	9	11	8	1	2	2	8	9	8	8	ybt 0; ICEKp12
14	12	2	2	2	2	15	6	2	2	2	2	ybt 1; ICEKp10
15	14	11	14	5	9	22	19	10	5	11	11	ybt 9; ICEKp3
16	15	3	19	3	3	7	28	3	3	3	3	ybt 10; ICEKp4
17	15	3	4	3	3	7	28	3	3	3	3	ybt 10; ICEKp4
18	15	3	4	3	3	7	28	3	3	3	130	ybt 10; ICEKp4
19	16	12	4	3	3	168	50	3	10	23	2	ybt 10; ICEKp4
20	16	12	4	3	3	208	54	3	10	9	2	ybt 10; ICEKp4
21	16	12	4	3	3	238	54	3	10	9	129	ybt 10; ICEKp4
22	16	12	4	3	3	256	33	3	10	9	2	ybt 10; ICEKp4?
23	16	12	4	3	3	273	50	3	10	23	2	ybt 10; ICEKp4
24	16	12	4	3	3	288	50	3	10	23	2	ybt 10; ICEKp4
25	16	12	4	3	3	35	257	3	10	23	2	ybt 10; ICEKp4
26	16	12	4	3	3	35	33	3	10	9	2	ybt 10; ICEKp4
27	16	12	4	3	3	35	33	3	10	93	2	ybt 10; ICEKp4
28	16	12	4	3	3	35	50	3	10	23	2	ybt 10; ICEKp4
29	18	20	27	18	13	41	38	9	8	26	22	ybt 4; plasmid
30	18	20	27	18	13	41	38	9	8	20	22	ybt 4; plasmid
31	18	20	27	18	13	81	38	9	8	26	35	ybt 4; plasmid
32	18	20	27	18	13	76	71	20	8	26	35	ybt 4; plasmid
33	18	20	27	18	13	41	81	9	8	26	44	ybt 4; plasmid
