ST;flic;CRISPR;rfb;Predicted_Serotype
ST146;ShH12;A-var1,6,24,21;A1;SD1
ST146;ShH12;A-var1,6,24,21,16;A1;SD1
ST146;ShH78;A-var1,6,24,21;A1;SD1
ST260;ShH12;A-var1,6,24,21;A1;SD1
ST290;ShH1;A-var4,18,4,16;A10;SD10
ST290;ShH85;A-var4,18,4,16;A10;SD10
ST253;ShH21(ShH3cplx);A-var2;A11;SD11
ST258;ShH26(ShH3cplx);A-var2;A11;SD11
ST148;ShH19(ShH3cplx);A-var2;A12;SD12
ST253;ShH26(ShH3cplx);A-var2;A12;SD12
ST261;ShH19(ShH3cplx);A-var2;A13;SD13
ST148;ShH19(ShH3cplx);iapIS1S-A14;A14;SD14
ST148;ShH19(ShH3cplx);none;A14;SD14
ST1739;ShH19(ShH3cplx);A-var2;A15;SD15
ST148;ShH19(ShH3cplx);A-var2;A16;SD16
ST252;ShH22(ShH3cplx);iapIS1S-93-119;A17;SD17
ST252;ShH76(ShH3cplx);iapIS1S-93-119;A17;SD17
ST273;none;A-var1,12,3,5,8;A18;SD18
ST273;none;A-var1,5,8;A2;SD2
ST147;none;A-var1,12;A2;SD2
ST147;none;A-var1,12,3,5,11-var1;A2;SD2
ST147;none;A-var1,12,3,5,8,11-var1;A2;SD2
ST1747;none;A-var1,5,8,11-var1;A2;SD2
ST1759;none;A-var1,12,3,3,5,8,11-var1;A2;SD2
ST1759;none;A-var1,12,3,5,8,11-var1;A2;SD2
ST273;none;A-var1,12,3,3,5,8,11-var1;A2;SD2
ST273;none;A-var1,12,3,5,8,11-var1;A2;SD2
ST273;none;A-var1,12,3,8,11-var1;A2;SD2
ST273;none;A-var1,5,8,11-var1;A2;SD2
ST273;none;A-var1,5,8,11-var1,11-var1;A2;SD2
ST288;none;A-var1,12,3,5,8,11-var1;A2;SD2
ST145;ShH27(ShH3cplx);A-var2;A3;SD3
ST148;ShH19(ShH3cplx);A-var2;A3;SD3
ST148;ShH33(ShH3cplx);A-var2;A3;SD3
ST7364;ShH19(ShH3cplx);A-var2;A3;SD3
ST148;ShH19(ShH3cplx);A-var2;A3/A16;SD3/SD16
ST252;ShH23(ShH3cplx);A-var2;A4;SD4
ST7371;ShH23(ShH3cplx);A-var2;A4;SD4
ST1770;ShH18(ShH3cplx);A-var2;A5;SD5
ST243;ShH75(ShH3cplx);A-var2;A5;SD5
ST252;ShH22(ShH3cplx);A-var2;A6;SD6
ST252;ShH22(ShH3cplx);iapIS1S-93-119;A6;SD6
ST1742;ShH14(ShH3cplx);A-var2,9;A7;SD7
ST243;ShH14(ShH3cplx);A-var2,9;A7;SD7
ST289;ShH10;A-var0,1;A8;SD8
ST7363;ShH74;A-var0,1;A8;SD8
ST1741;ShH32(ShH3cplx);A-var2;A9;SD9
ST252;ShH32(ShH3cplx);A-var2;A9;SD9
ST1760;none;A-var1,12,3,5,8,8,11-var1;AprovBEDP02-5104;SDprovBEDP02-5104
ST1761;none;A-var1,12,3,5,8,8,11-var1;AprovBEDP02-5104;SDprovBEDP02-5104
ST288;none;A-var1,12,3,5,8,11-var1;AprovBEDP02-5104;SDprovBEDP02-5104
ST288;none;A-var1,12,3,5,8,8,11-var1;AprovBEDP02-5104;SDprovBEDP02-5104
ST288;none;A-var1,12,3,5,8,8,8,8,11-var1;AprovBEDP02-5104;SDprovBEDP02-5104
ST1022;ShH2(ShH2cplx);A-var3,x;B1-5;SF1-5
ST1024;ShH2(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST1025;ShH36(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST10662;ShH49(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST10663;ShH2(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST10666;ShH2(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST10674;ShH2(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST10790;ShH2(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST10792;ShH2(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST11302;ShH2(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST11506;ShH2(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST11606;ShH2(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST11814;ShH2(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST12083;ShH2(ShH2cplx);A-var3,x;B1-5;SF1-5
ST12470;ShH2(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST245;none;A-var3,x,16;B1-5;SF1-5
ST245;ShH2(ShH2cplx);A-var3,x;B1-5;SF1-5
ST245;ShH2(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST245;ShH36(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST245;ShH41(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST245;ShH42(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST245;ShH43(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST245;ShH44(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST245;ShH45(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST245;ShH46(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST245;ShH47(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST245;ShH53(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST245;ShH61(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST245;ShH63(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST245;ShH2(ShH2cplx);x,16;B1-5;SF1-5
ST5240;ShH2(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST5312;ShH36(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST5672;ShH2(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST6200;ShH2(ShH2cplx);A-var3,x;B1-5;SF1-5
ST6200;ShH2(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST628;ShH29(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST628;ShH2(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST628;ShH58(ShH2cplx);A-var3,x;B1-5;SF1-5
ST628;ShH65(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST628;ShH67(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST630;ShH59(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST631;ShH66(ShH2cplx);A-var3,x;B1-5;SF1-5
ST631;ShH66(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST6369;ShH36(ShH2cplx);A-var3,x,16;B1-5;SF1-5
ST6443;ShH2(ShH2cplx);A-var3,x;B1-5;SF1-5
ST6917;ShH2(ShH2cplx);A-var3,x,16;B1-5;SF1-5
