ST	iucA	iucB	iucC	iucD	iutA	iuc_lineage
1	1	1	1	1	1	iuc 1
2	2	6	13	6	46	iuc 2
3	2	6	13	6	26	iuc 2
4	5	4	3	11	6	iuc 2A
5	1	1	1	1	10	iuc 1
6	2	6	5	15	8	iuc 2
7	5	4	16	11	6	iuc 2A
8	1	1	1	1	50	iuc 1
9	1	1	1	1	7	iuc 1
10	11	4	9	3	12	iuc 2A
11	7	2	2	2	2	iuc 2
12	8	1	1	1	1	iuc 1
13	9	7	7	8	9	iuc 3
14	2	2	2	2	2	iuc 2
15	1	1	1	7	1	iuc 1
16	1	3	1	1	1	iuc 1
17	6	1	6	1	1	iuc 1
18	21	1	1	19	1	iuc 1
19	10	1	8	9	11	iuc 1
20	1	1	1	1	3	iuc 1
21	1	19	1	1	1	iuc 1
22	1	1	29	1	10	iuc 1
23	14	9	12	12	16	iuc 3
24	2	6	5	6	8	iuc 2
25	9	7	12	8	17	iuc 3
26	1	1	20	1	49	iuc 1
27	1	1	1	18	1	iuc 1
28	20	1	1	1	1	iuc 1
29	3	4	3	3	4	iuc 2A
30	4	5	4	4	5	iuc 4
31	2	10	14	2	26	iuc 2
32	9	11	12	8	17	iuc 3
33	1	1	1	1	47	iuc 1
34	1	1	1	16	1	iuc 1
35	1	1	17	1	1	iuc 1
36	39	1	1	1	1	iuc 1
37	1	1	31	1	1	iuc 1
38	2	2	2	17	2	iuc 2
39	5	4	3	5	6	iuc 2A
40	24	4	3	20	6	iuc 2A
41	12	14	22	21	51	iuc 3
42	12	14	22	22	13	iuc 3
43	25	9	25	23	52	iuc 3
44	4	5	26	4	5	iuc 4
45	28	4	3	11	54	iuc 2A
46	5	4	3	27	6	iuc 2A
47	5	16	3	11	6	iuc 2A
48	34	18	11	28	6	iuc 2A
49	25	9	30	31	52	iuc 3
50	43	20	3	32	6	iuc 2A
51	5	4	27	11	6	iuc 2A
52	26	5	4	24	5	iuc 4
53	27	4	27	25	53	iuc 2A
54	30	4	3	3	12	iuc 2A
55	31	4	3	3	12	iuc 2A
56	35	4	3	20	6	iuc 2A
57	27	4	3	20	6	iuc 2A
58	37	5	4	4	56	iuc 4
59	45	22	33	35	48	iuc 5
60	45	12	33	35	60	iuc 5
61	45	24	33	35	61	iuc 5
62	45	12	33	35	61	iuc 5
63	1	15	1	1	1	iuc 1
64	9	7	12	13	17	iuc 3
65	1	1	15	1	1	iuc 1
66	45	21	33	39	24	iuc 5
67	51	1	39	1	37	iuc 1
68	51	1	40	1	38	iuc 1
69	12	29	42	34	13	iuc 3
70	9	33	12	8	34	iuc 3
71	12	14	42	38	30	iuc 3
72	12	30	22	37	33	iuc 3
73	12	30	22	37	31	iuc 3
74	12	30	22	37	32	iuc 3
75	1	1	1	1	36	iuc 1
76	1	1	41	1	1	iuc 1
77	1	1	1	33	1	iuc 1
78	1	1	34	1	1	iuc 1
79	9	34	38	8	9	iuc 3
80	9	7	12	8	35	iuc 3
81	9	35	12	8	17	iuc 3
83	9	33	12	8	17	iuc 3
84	53	2	13	2	26	iuc 2
85	12	14	22	36	51	iuc 3
86	12	30	22	37	13	iuc 3
87	12	31	22	37	13	iuc 3
88	25	9	25	31	52	iuc 3
89	25	9	45	23	52	iuc 3
90	25	9	43	23	39	iuc 3
91	25	9	25	31	40	iuc 3
92	25	36	25	31	52	iuc 3
93	25	9	44	31	52	iuc 3
94	45	12	33	35	22	iuc 5
95	46	1	1	1	1	iuc 1
96	25	9	25	23	80	iuc 3
97	56	7	12	8	9	iuc 3
98	57	7	12	8	35	iuc 3
99	58	9	25	31	52	iuc 3
100	25	9	25	23	39	iuc 3
