ST	wzi	KL
1	1	KL1
2	2	KL2 (KL30)
3	3	KL3
4	4	KL2
5	5	KL5
6	6	KL6
7	7	KL7
8	8	KL8 (KL22/37)
9	9	KL9
10	10	KL10
11	11	KL11
12	12	KL12
13	13	KL13
14	14	KL14
15	15	KL35
16	16	KL16 (KL143)
17	17	KL14
18	18	KL18
19	19	KL19
20	20	KL20
21	21	KL21
22	22	KL22/KL37 (KL8,KL30,KL151)
23	23	KL14
24	24	KL24 (KL54,KL55)
25	25	KL25
26	26	KL27
27	27	KL27
28	28	KL28
29	29	KL106
30	30	KL30
31	31	KL31
32	32	KL31
33	33	KL64
34	34	KL57 (KL34)
35	35	KL35
36	36	KL36
37	37	KL22/KL37
38	38	KL38
39	39	KL39 (KL13)
40	40	KL3
41	41	KL126
42	42	KL42
43	43	KL43
44	44	KL123
45	45	KL45
46	46	KL61 (KL13)
47	47	KL47
48	48	KL48
49	49	KL49
50	50	KL15 (KL17,KL51,KL52)
51	51	KL27
52	52	KL52
53	53	KL53
54	54	KL54
55	55	KL55
56	56	KL55
57	57	KL57
58	58	KL58
59	59	KL3
60	60	KL60
61	61	KL55
62	62	KL62
63	63	KL63
64	64	KL64
65	65	KL?
66	66	KL19
67	67	KL?
68	68	KL?
69	69	KL143 (KL101)
70	70	KL?
71	71	KL71
72	72	KL2
73	73	KL104
74	74	KL103
75	75	KL105
76	76	KL?
77	77	KL?
78	78	KL?
79	79	KL10
80	80	KL80
81	81	KL81 (KL120)
82	82	KL23 (KL18, KL38)
83	83	KL23
84	84	KL28
85	85	KL30
86	86	KL125
87	87	KL121
88	88	KL157
89	89	KL110
90	90	KL22/37 (KL8)
91	91	KL14?
92	92	KL14?
93	93	KL112
94	94	KL62
95	95	KL20
96	96	KL38
97	97	KL46
98	98	KL35?
99	99	KL128
100	100	KL10
101	101	KL24
102	102	KL31?
103	103	KL2
104	104	KL51
105	105	KL108
106	106	KL11?
107	107	KL22/KL37?
108	108	KL118
109	109	KL36
110	110	KL149
111	111	KL25
112	112	KL13 (KL39)
113	113	KL111
114	114	KL30 (KL2, KL8, KL111)
115	115	KL54
116	116	KL19
117	117	KL54
118	118	KL146
119	119	KL24
120	120	KL22/37?
121	121	KL43
122	122	KL121
123	123	KL136
124	124	KL105
125	125	KL2?
126	126	KL2?
127	127	KL4
128	128	KL1 (KL22/37)
129	129	KL4
130	130	KL58
131	131	KL3
132	132	KL3
133	133	KL25
134	134	KL30
135	135	KL3
136	136	KL35?
137	137	KL17
138	138	KL30?
139	139	KL?
140	140	KL55?
141	141	KL25
142	142	KL19?
143	143	KL151
144	144	KL32?
145	145	KL35?
146	146	KL44?
147	147	KL79?
148	148	KL72?
149	149	KL62
150	150	KL163 (KL27,KL46)
151	151	KL48
152	152	KL?
153	153	KL?
154	154	KL107
155	155	KL35
156	156	KL1?
157	157	KL2
158	158	KL51
