clusterid,queryID,class,gene,allele,seqID,aro_accession,ncbi_accession,positions,size,cluster_contains_multiple_genes,gene_found_in_multiple_clusters,bla_description,bla_class,CARD_class,ARO_class
1,aac(2')-Ia,AGly,AAC(2'),aac(2')-Ia,1,ARO_3002523,NG_047226.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
1,aac(2')-Ib,AGly,AAC(2'),aac(2')-Ib,2,ARO_3002524,NG_047227.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
1,aac(2')-Ic,AGly,AAC(2'),aac(2')-Ic,3,ARO_3002525,NG_047229.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
1,aac(2')-Id,AGly,AAC(2'),aac(2')-Id,4,ARO_3002526,NG_047230.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
1,aac(2')-Ie,AGly,AAC(2'),aac(2')-Ie,5,ARO_3002527,NG_050581.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
1,aac(2')-IIa,AGly,AAC(2'),aac(2')-IIa,6,ARO_3004628,NG_047225.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
1,aac(2')-IIb,AGly,AAC(2'),aac(2')-IIb,7,ARO_3003988,NG_055672.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Ia,AGly,AAC(3),aac(3)-Ia,8,ARO_3002528,NG_056001.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Ib,AGly,AAC(3),aac(3)-Ib,9,ARO_3002530,P034755.1:29134-29664,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Ic,AGly,AAC(3),aac(3)-Ic,10,ARO_3002531,NG_048568.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-Id,AGly,AAC(3),aac(3)-Id,11,ARO_3002529,NG_048569.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IIa.v1,AGly,AAC(3),aac(3)-IIa.v1,12,ARG_X51534,NG_047244.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IIa.v2,AGly,AAC(3),aac(3)-IIa.v2,13,ARO_3002533,NG_047245.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IIb,AGly,AAC(3),aac(3)-IIb,14,ARO_3002534,NG_047249.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IIc,AGly,AAC(3),aac(3)-IIc,15,ARO_3002535,NG_047250.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IId,AGly,AAC(3),aac(3)-IId,16,ARO_3004623,NG_047251.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
2,aac(3)-IIe,AGly,AAC(3),aac(3)-IIe,17,ARO_3004621,NG_047252.1,-,-,no,no,,,aminoglycoside antibiotic,ARO:0000016
