assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename	strain	contig_count	N50	largest_contig	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	aerobactin	salmochelin	hypermucoidy	wzi	KL	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	AGly	Col	Fcyn	Flq	Gly	MLS	Phe	Rif	Sul	Tet	Tmt	Bla	Bla_Carb	Bla_ESBL	Bla_ESBL_inhR	Bla_broad	Bla_broad_inhR
GCF_000009885.1	PRJNA224116	SAMD00060934		na	484021	573	Klebsiella pneumoniae subsp. pneumoniae NTUH-K2044	strain=NTUH-K2044		latest	Complete Genome	Major	Full	2005/01/05	ASM988v1	National Health Research Institutes	GCA_000009885.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/009/885/GCF_000009885.1_ASM988v1	./refseq/bacteria/GCF_000009885.1/GCF_000009885.1_ASM988v1_genomic.fna.gz	GCF_000009885.1_ASM988v1_genomic.fna	2	5248520	5248520	ST23	3	0	0	0	ybt 2; ICEKp1	326	-	0	iucABCD	iroBCDN;iroBCDN	rmpA;rmpA	wzi1	KL1	ST23	2	1	1	1	9	4	12	9	7	9	6	5	1	1	6	7	7	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH;SHV-108*	-	-	-	-	-
GCF_000016305.1	PRJNA224116	SAMN02603941		na	272620	573	Klebsiella pneumoniae subsp. pneumoniae MGH 78578	strain=ATCC 700721; MGH 78578		latest	Complete Genome	Major	Full	2007/07/05	ASM1630v1	The Klebsiella pneumoniae Genome Sequencing Project	GCA_000016305.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/016/305/GCF_000016305.1_ASM1630v1	./refseq/bacteria/GCF_000016305.1/GCF_000016305.1_ASM1630v1_genomic.fna.gz	GCF_000016305.1_ASM1630v1_genomic.fna	6	5315120	5315120	ST38	0	1	6	14	-	0	-	0	-	-	-	wzi50	KL15 (KL17,KL51,KL52)	ST38	2	1	2	1	2	2	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac6-Ib;StrB;Aph3''Ia;StrA;AadB	-	-	GyrA-83Y	-	-	CmlA5;CatA1*	-	SulI;SulII	TetD	-	AmpH*;TEM-150*;OXA-9*;TEM-105*	-	SHV-40*;SHV-12	-	-	-
GCF_000019565.1	PRJNA224116	SAMN02603449		na	507522	573	Klebsiella pneumoniae 342	strain=342		latest	Complete Genome	Major	Full	2008/09/24	ASM1956v1	J. Craig Venter Institute	GCA_000019565.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/019/565/GCF_000019565.1_ASM1956v1	./refseq/bacteria/GCF_000019565.1/GCF_000019565.1_ASM1956v1_genomic.fna.gz	GCF_000019565.1_ASM1956v1_genomic.fna	3	5641239	5641239	ST146	0	0	0	0	-	0	-	0	-	-	-	wzi159	KL30	ST146	16	24	30	27	36	22	55	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;LEN-24*;LEN-24*	-	-	-	-	-
GCF_000025465.1	PRJNA224116	SAMN02598515		na	640131	244366	Klebsiella variicola At-22	strain=At-22		latest	Complete Genome	Major	Full	2010/02/16	ASM2546v1	US DOE Joint Genome Institute	GCA_000025465.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/025/465/GCF_000025465.1_ASM2546v1	./refseq/bacteria/GCF_000025465.1/GCF_000025465.1_ASM2546v1_genomic.fna.gz	GCF_000025465.1_ASM2546v1_genomic.fna	1	5458505	5458505	ST1220	0	0	0	0	-	0	-	0	-	-	-	wzi170	KL134	ST1220	16	18	21	27	47	22	216	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;LEN-24*	-	-	-	-	-
GCF_000163075.1	PRJNA224116	SAMN02463808	ACXA00000000.1	na	469608	469608	Klebsiella sp. 1_1_55	strain=1_1_55		latest	Scaffold	Major	Full	2010/03/01	ASM16307v1	Broad Institute	GCA_000163075.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/075/GCF_000163075.1_ASM16307v1	./refseq/bacteria/GCF_000163075.1/GCF_000163075.1_ASM16307v1_genomic.fna.gz	GCF_000163075.1_ASM16307v1_genomic.fna	19	1084691	1875766	ST848	0	0	0	0	-	0	-	0	-	-	-	wzi161	KL13	ST848	16	24	30	32	90	22	178	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;LEN-24*	-	-	-	-	-
GCF_000163455.1	PRJNA224116	SAMN00120581	ACZD00000000.1	na	667127	573	Klebsiella pneumoniae subsp. rhinoscleromatis ATCC 13884	strain=ATCC 13884		latest	Scaffold	Major	Full	2009/09/24	ASM16345v1	Baylor College of Medicine	GCA_000163455.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/163/455/GCF_000163455.1_ASM16345v1	./refseq/bacteria/GCF_000163455.1/GCF_000163455.1_ASM16345v1_genomic.fna.gz	GCF_000163455.1_ASM16345v1_genomic.fna	51	565138	825895	ST67	3	0	0	0	ybt 11; ICE_rhino	307	-	0	iucABCD	iroC	-	wzi135	KL3	ST67	2	1	9	1	15	5	28	6	6	7	4	1	10	10	5	6	6	5	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-33*	-	-	-	-	-
GCF_000195655.1	PRJNA224116	SAMN00189148	AFBO00000000.1	na	749535	749535	Klebsiella sp. MS 92-3	strain=MS 92-3		latest	Scaffold	Major	Full	2011/04/12	ASM19565v1	Genome Sequencing Center (GSC) at Washington University (WashU) School of Medicine	GCA_000195655.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/195/655/GCF_000195655.1_ASM19565v1	./refseq/bacteria/GCF_000195655.1/GCF_000195655.1_ASM19565v1_genomic.fna.gz	GCF_000195655.1_ASM19565v1_genomic.fna	180	73903	189529	ST45	1	0	4	4	ybt 10; ICEKp4	78-2LV	-	0	-	-	-	wzi101	KL24	ST45	2	1	1	6	7	1	12	3	12	13	11	3	21	18	3	10	16*	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?	-	-	-	-	-	-	-	SulI	TetD	DfrA1*	SHV-145*;AmpH*	-	-	-	-	-
GCF_000215745.1	PRJNA68103	SAMN02603581		reference genome	1028307	548	Klebsiella aerogenes KCTC 2190	strain=KCTC 2190		latest	Complete Genome	Major	Full	2011/06/03	ASM21574v1	Macrogen Inc.	GCA_000215745.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/215/745/GCF_000215745.1_ASM21574v1	./refseq/bacteria/GCF_000215745.1/GCF_000215745.1_ASM21574v1_genomic.fna.gz	GCF_000215745.1_ASM21574v1_genomic.fna	1	5280350	5280350	0	0	0	1	1	-	0	-	0	-	-	-	0	-	0	85*	119*	-	-	-	57*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83T	-	-	-	-	-	-	-	AmpC*	-	-	-	-	-
GCF_000219945.1	PRJNA224116	SAMN02469846	AFQK00000000.1	na	1037890	573	Klebsiella pneumoniae JH1	strain=JH1		latest	Contig	Major	Full	2011/07/05	ASM21994v2	GlaxoSmithKline	GCA_000219945.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/945/GCF_000219945.1_ASM21994v2	./refseq/bacteria/GCF_000219945.1/GCF_000219945.1_ASM21994v2_genomic.fna.gz	GCF_000219945.1_ASM21994v2_genomic.fna	118	141130	527367	ST134	0	0	1	1	-	0	-	0	-	-	-	wzi168	KL25	ST134	3	1	2	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-60	-
GCF_000219965.1	PRJNA224116	SAMN02469847	AFQL00000000.1	na	1037908	573	Klebsiella pneumoniae 1162281	strain=1162281		latest	Contig	Major	Full	2011/07/05	ASM21996v2	GlaxoSmithKline	GCA_000219965.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/219/965/GCF_000219965.1_ASM21996v2	./refseq/bacteria/GCF_000219965.1/GCF_000219965.1_ASM21996v2_genomic.fna.gz	GCF_000219965.1_ASM21996v2_genomic.fna	116	161835	414017	ST133	0	2	8	11	-	0	-	0	-	-	-	wzi160	KL39	ST133	12	1	1	2	5	1	36	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2;AadB	-	-	Qnr-A1;GyrA-83F	-	-	CmlA1*;CatB3*	-	SulI?	-	DfrA19*	AmpH*	CARB-3*	-	TEM-154*	SHV-75	-
